# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
287744 140.5 0.126908982882221
288256 140.75 0.126905710016915
288768 141 0.126903041488863
289280 141.25 0.126900963418655
289792 141.5 0.126899472257549
290304 141.75 0.126898577039742
290816 142 0.126898292170397
291328 142.25 0.126898629648559
291840 142.5 0.126899593520077
292352 142.75 0.126901176735986
292864 143 0.126903365619864
293376 143.25 0.126906153552361
293888 143.5 0.126909551312227
294400 143.75 0.126913579812426
294912 144 0.126918250958819
295424 144.25 0.126923558220949
295936 144.5 0.126929486743391
296448 144.75 0.12693602935645
296960 145 0.126943190959373
297472 145.25 0.126950980691289
297984 145.5 0.126959403754444
298496 145.75 0.126968460147463
299008 146 0.126978147944965
299520 146.25 0.126988466289734
300032 146.5 0.126999415717307
300544 146.75 0.127010995801498
301056 147 0.127023202779383
301568 147.25 0.127036031176033
302080 147.5 0.127049479060916
302592 147.75 0.127063550197722
303104 148 0.127078248565615
303616 148.25 0.12709357116538
304128 148.5 0.127109508912064
304640 148.75 0.127126055279043
305152 149 0.127143211476372
305664 149.25 0.127160980982272
306176 149.5 0.12717936018286
306688 149.75 0.127198337142952
307200 150 0.127217900562004
307712 150.25 0.127238048475104
308224 150.5 0.127258785988373
308736 150.75 0.127280113538028
309248 151 0.127302018697344
309760 151.25 0.127324482225831
310272 151.5 0.127347493272259
310784 151.75 0.127371056170393
311296 152 0.127395178904535
311808 152.25 0.127419855207035
312320 152.5 0.127445061858634
312832 152.75 0.127470775646646
313344 153 0.127496990410279
313856 153.25 0.127523714308041
314368 153.5 0.127550951492861
314880 153.75 0.127578690111578
315392 154 0.127606908794358
315904 154.25 0.127635591184144
316416 154.5 0.127664731061297
316928 154.75 0.127694324942467
317440 155 0.127724364205259
317952 155.25 0.127754836725096
318464 155.5 0.127785733928358
318976 155.75 0.127817052091323
319488 156 0.127848785239146
320000 156.25 0.127880919432052
320512 156.5 0.127913437566752
321024 156.75 0.1279463298424
321536 157 0.127979596017657
322048 157.25 0.128013234945531
322560 157.5 0.12804723445868
323072 157.75 0.128081576640927
323584 158 0.12811624798637
324096 158.25 0.128151242918933
324608 158.5 0.128186557233168
325120 158.75 0.128222176073109
325632 159 0.12825806915148
326144 159.25 0.128294196552429
326656 159.5 0.128330518204958
327168 159.75 0.128366999433192
327680 160 0.128403611483427
328192 160.25 0.128440291536327
328704 160.5 0.128476949834185
329216 160.75 0.128513577981683
329728 161 0.128550092902053
330240 161.25 0.128586535624645
330752 161.5 0.128623001415436
331264 161.75 0.128659565208531
331776 162 0.128696275902992
332288 162.25 0.128733157514759
332800 162.5 0.128770219492676
333312 162.75 0.128807466164108
333824 163 0.128844904395698
334336 163.25 0.128882546231887
334848 163.5 0.128920405597989
335360 163.75 0.128958494910833
335872 164 0.128996826292986
336384 164.25 0.129035415229452
336896 164.5 0.129074282520383
337408 164.75 0.129113454000256
337920 165 0.129152958481681
338432 165.25 0.129192821929524
338944 165.5 0.129233058307471
339456 165.75 0.129273665031628
339968 166 0.129314630724783
340480 166.25 0.129355949945625
340992 166.5 0.129397629586906
341504 166.75 0.129439680493441
342016 167 0.129482105532193
342528 167.25 0.129524897834007
343040 167.5 0.129568047187923
343552 167.75 0.129611541694428
344064 168 0.129655361187778
344576 168.25 0.129699474006541
345088 168.5 0.129743846657985
345600 168.75 0.129788458677126
346112 169 0.129833305822671
346624 169.25 0.129878386299421
347136 169.5 0.129923683281932
347648 169.75 0.129969161210365
348160 170 0.130014779199679
348672 170.25 0.130060508248822
349184 170.5 0.13010633657157
349696 170.75 0.130152260195651
350208 171 0.130198269830631
350720 171.25 0.130244346321789
351232 171.5 0.13029046663441
351744 171.75 0.130336612828671
352256 172 0.130382776641172
352768 172.25 0.13042895816474
353280 172.5 0.130475160537332
353792 172.75 0.130521382876342
354304 173 0.130567615264504
354816 173.25 0.130613841018861
355328 173.5 0.130660046741091
355840 173.75 0.130706231618412
356352 174 0.130752405667378
356864 174.25 0.130798577413629
357376 174.5 0.130844743425072
357888 174.75 0.130890890213744
358400 175 0.130937005066948
358912 175.25 0.130983083170165
359424 175.5 0.13102912417025
359936 175.75 0.131075123764736
360448 176 0.131121070246599
360960 176.25 0.131166948958788
361472 176.5 0.131212748892078
361984 176.75 0.131258464421958
362496 177 0.131304090970106
363008 177.25 0.131349619191985
363520 177.5 0.131395033021957
364032 177.75 0.131440313345396
364544 178 0.131485444711211
365056 178.25 0.131530417718009
365568 178.5 0.131575227248926
366080 178.75 0.131619867729303
366592 179 0.131664328361441
367104 179.25 0.131708592946869
367616 179.5 0.131752645324132
368128 179.75 0.131796475853605
368640 180 0.131840082524347
369152 180.25 0.131883465197909
369664 180.5 0.131926618841671
370176 180.75 0.131969533164615
370688 181 0.132012199095363
371200 181.25 0.132054615351911
